FILIAL; DATA PROC; IDADE INI; IDADE FIM;SETOR LOJA   ;MERC ;DIGITO;STATUS;DESCRICAO ;EMBALAGEM ;DT VENC   ;TRIBUTACAO;LC;QTDE_IDEAL;DT PRECO IND;PRECO IND;DT ULT ENTR;CUSTO ULT ENTR;QTDE ULT ENTR;QTDE PED COMPRA;QTDE PED FILIAL;QTDE PED NF AT;ESTOQ EMB1;ESTOQ EMB9;CUSTO MEDIO;PRECO VENDA;PERC RENT;QTDE VENDA EMB1;IDADE;NAO VENDE;TP ETIQ;MIX;DT PRECO;EMB.INTERMEDIARIA;PAR;DIREITO DEVOLUCAO;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;32985;185; ;LEITE L.VIDA BETANIA DESNATADO     ;CXA 1 X 12 1L     ;;*; ;90;     ;0;01/03/2023;54,03;90;0;0;0;56;0;54,33;58,2;0,64;34;27;0;C; ;22/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;24862;156; ;LEITE L.VIDA BETANIA INTEGRAL      ;CXA 1 X 12 1L     ;;*; ;90;     ;0;01/03/2023;54,03;450;0;0;0;311;5;54,3;58,2;0,69;386;27;0;C;N;22/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;61222;199; ;LEITE L.VIDA BETANIA ZERO LACTOSE  ;CXA 1 X 12 1L     ;;*; ;90;     ;0;23/03/2023;61,01;90;0;0;0;143;7;61,06;71,88;9,04;58;10,22;0;C; ;30/01/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;25950;142; ;LEITE L.VIDA ELEGE DESNATADO       ;CXA 1 X 12 1L     ;;*; ;90;     ;0;15/03/2023;51,96;90;0;0;0;88;11;52,38;58,2;3,98;1;13;2;C;N;22/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;25162;116; ;LEITE L.VIDA ELEGE INTEGRAL        ;CXA 1 X 12 1L     ;;*; ;90;     ;0;15/03/2023;51,96;450;0;0;0;444;6;52,37;58,2;4;5;13;2;C; ;22/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;14201;164; ;LEITE L.VIDA MOLICO DESNATADO      ;CXA 1 X 12 1L     ;;*; ;85;     ;0;23/03/2023;71,77;15;15;0;0;13;7;82,68;91,08;3,21;4;5;2;C; ;27/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;14191;195; ;LEITE L.VIDA NINHO INTEGRAL        ;CXA 1 X 12 1L     ;;*; ;85;     ;0;23/03/2023;71,77;20;10;0;0;34;6;82,68;91,08;3,21;16;25,59;0;C; ;27/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;50410;161; ;LEITE L.VIDA NINHO LEVINHO         ;CXA 1 X 12 1L     ;;*; ;85;     ;0;23/03/2023;71,77;10;10;0;0;12;11;82,68;91,08;3,21;8;16,06;0;X; ;27/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;58047;168; ;LEITE L.VIDA PIRACANJUBA DES./TAMP ;CXA 1 X 12 1L     ;;*; ;85;     ;0;23/03/2023;65,97;20;15;0;0;18;11;67,74;79,08;8,33;1;5;0;C; ;07/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;58045;149; ;LEITE L.VIDA PIRACANJUBA INT.C/TAMP;CXA 1 X 12 1L     ;;*; ;85;     ;0;23/03/2023;65,97;40;40;0;0;39;4;65,97;79,08;10,57;0;5;2;C; ;07/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;58046;108; ;LEITE L.VIDA PIRACANJUBA SEM.C/TAMP;CXA 1 X 12 1L     ;;*; ;85;     ;0;23/03/2023;65,97;10;10;0;0;10;0;67,74;79,08;8,33;0;5;999;C; ;07/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;39284;174; ;LEITE L.VIDA PIRACANJUBA Z/LAC SEMI;CXA 1 X 12 1L     ;;*; ;85;     ;0;23/03/2023;67,64;70;50;0;0;67;1;68,84;83,88;11,92;2;5;0;C; ;02/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;66495;197; ;LEITE L.VIDA VALED.S.LAC.C/TAMPA   ;CXA 1 X 12 1L     ;; ; ;68;     ;0;16/03/2023;52,44;85;0;0;0;21;3;52,46;63,48;11,35;63;12;0;C; ;23/02/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;66496;156; ;LEITE L.VIDA VALEDOU.DES.C/TAMPA   ;CXA 1 X 12 1L     ;; ; ;68;     ;0;16/03/2023;47,76;170;0;0;0;251;6;47,94;55,08;6,95;194;18,48;0;C; ;19/03/2023;;N;N;
273;28/03/23;   0;9999;001-LEITE LONGA VIDA/BEB LACTEA                                                                         ;66497;115; ;LEITE L.VIDA VALEDOU.INT.C/TAMPA   ;CXA 1 X 12 1L     ;; ; ;68;     ;0;22/03/2023;47,76;1020;1020;0;0;2115;8;47,8;55,08;7,21;1645;12,23;0;C; ;19/03/2023;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;75281;100; ;ACHOC.PO CHOCOLATTO 3CORACOES      ;FDO 1 X 5 1020G  ;; ; ;84;     ;0;02/03/2023;49;6;0;0;0;6;3;47,12;78;6,32;8;27,09;0;C; ;10/02/2023;; ; ;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;60860;115; ;ACHOC.PO MARATA SACHET             ;CXA 1 X 10 1005G  ;; ; ;80;     ;0;27/12/2022;59,04;5;0;0;0;1;4;61,63;129;18,96;0;91;0;C; ;10/02/2023;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;56538;198; ;ACHOC.PO NESCAU                    ;CXA 1 X 4 2KG    ;; ; ;65;     ;0;15/03/2023;74,19;5;0;0;65;1;0;76,53;127,61;6,77;8;13;4;C; ;26/03/2023;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;59545;192; ;ACHOC.PO NESCAU 2.0 SACHET         ;CXA 1 X 6 1200G  ;; ; ;120;     ;0;26/01/2023;91,14;30;0;0;0;4;4;99,04;149,8;0,62;11;61;2;C; ;12/03/2023;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;60598;158; ;ACHOC.PO NESTLE ALPINO             ;CXA 1 X 6 1KG    ;;*; ;75;     ;0;10/10/2022;122,08;10;0;0;0;1;0;117,18;149,4;6,31;1;169;0;C; ;10/10/2022;S;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;74009;162; ;ACHOC.PO TODDY                     ;CXA 1 X 6 1800G  ;; ; ;55;     ;0;03/03/2023;114,19;2;0;0;0;3;3;108,96;171,54;3,22;1;42,57;3;C; ;01/03/2023;; ; ;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;64451;150; ;ACHOC.PO TODDY SACHET              ;CXA 1 X 12 1020G  ;; ; ;49;     ;0;03/03/2023;137,78;7;0;0;28;11;1;122,65;202,81;6,26;7;54,47;0;C; ;26/03/2023;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;60052;144; ;ACUCAR CRISTAL PETRIBU SACHE       ;CXA 1 X 1 400X5G ;; ; ;250;     ;0;22/03/2023;12;10;0;0;0;10;0;11,77;18,5;12,28;0;6;999;C; ;08/07/2022;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;56878;184; ;ADOCANTE DIET SUC.UNIAO SACHET     ;CXA 1 X 1 400X6G ;; ; ;451;     ;0;27/02/2023;18,03;10;0;0;0;11;0;17,95;26,9;-0,04;3;31,45;3;C; ;23/01/2023;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;61664;195; ;ADOCANTE LINEA STEVIA SACHE        ;CXA 1 X 12 50X0,6G;; ; ;130;     ;0;04/03/2023;63,12;13;0;0;0;10;4;62,81;106,8;7,92;3;24;0;C; ;15/08/2022;S;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;69354;127; ;ADOCANTE LINEA SUCRALOSE LIQUIDO   ;CXA 1 X 1 6X75ML ;; ; ;897;     ;0;21/01/2023;23,33;20;0;0;0;13;0;23,34;38,9;6,72;0;66;999;C; ;15/08/2022;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;50808;110; ;ADOCANTE LINEA SUCRALOSE SACHE     ;CXA 1 X 1 500X0,6;; ; ;312;     ;0;04/03/2023;19,23;20;0;0;0;18;0;19,08;31,5;6,13;2;24;16;C; ;15/08/2022;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;50809;170; ;ADOCANTE LINEA SUCRALOSE SACHE     ;CXA 1 X 24 50X,8  ;; ; ;70;     ;0;10/01/2023;121,1;5;0;0;0;2;13;120,75;204;7,55;1;77;2;X; ;15/08/2022;S;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;70670;110; ;ADOCANTE ZERO-CAL SUCRALOSE PO     ;CXA 1 X 12 50X0,6G;; ; ;120;     ;0;27/01/2023;49,49;4;0;0;0;6;2;49,19;76,68;2,58;1;92,67;4;C; ;05/09/2022;S; ; ;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;9361;133; ;AJINOMOTO PACOTE                   ;CXA 1 X 5 2KG    ;; ; ;54;28/06;121,74;30/11/2022;183,77;2;0;0;0;0;4;183,8;299,5;5,37;0;118;0;C;N;21/09/2022;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;50452;199; ;ALCAPARRA CAMPO BELO BALDE         ;CXA 1 X 6 1010G  ;;*; ;49;     ;0;03/02/2023;193,31;2;0;0;0;3;1;208,26;257,94;4;0;76,21;28;C; ;02/12/2022;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;21400;186; ;AMAC.CARNE KITANO 15942            ;CXA 1 X 10 1KG    ;;*; ;70;10/01;54,96;03/03/2023;168,97;5;0;0;0;4;2;168,41;219;7,84;1;25;0;C;N;16/11/2022;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;48722;142; ;AMAC.CARNE QUALIMAX PCT            ;CXA 1 X 10 1010G  ;; ; ;78;     ;0;23/03/2023;94,4;13;0;0;0;12;9;94,4;179;14;0;5;0;C; ;31/08/2022;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;38582;130; ;AMAC.MAGGI DE CARNE                ;CXA 1 X 6 1100G  ;; ; ;96;     ;0;09/01/2023;105,22;2;0;0;0;2;5;104,13;153;-1,31;0;104,76;3;C; ;05/08/2022;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;58680;195; ;AMIDO DE MILHO APTI                ;CXA 1 X 1 5KG    ;; ; ;150;     ;0;21/02/2023;35,61;1;0;0;0;1;0;36,01;58,9;5,59;1;35;2;C; ;12/03/2023;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;21433;122; ;AMIDO MILHO QUALIMAX PCT           ;CXA 1 X 10 1KG    ;; ; ;40;     ;0;12/07/2022;59,72;8;0;0;0;4;1;59,71;109;11,95;0;259;6;C; ;24/10/2022;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;50451;139; ;AZEITONA PRETA CAMPO BELO FAT.BLD  ;CXA 1 X 6 2KG    ;;*; ;35;     ;0;10/08/2022;334,49;5;0;0;0;3;3;326,58;323,4;-16,23;0;230;22;C; ;16/06/2022;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;35648;171; ;AZEITONA PRETA CAMPO BELO S/C BALDE;CXA 1 X 6 2KG    ;;*; ;35;     ;0;09/11/2022;334,94;2;0;0;0;3;2;326,58;323,4;-16,23;0;175,4;11;C; ;16/06/2022;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;24014;166; ;AZEITONA PRETA S/C RIVOLI BALDE    ;UND 1 X 1 1800G  ;;*; ;150;     ;0;08/03/2022;68,15;10;0;0;0;8;0;66,32;69,99;-10,01;0;385;999;C;N;06/02/2023;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;35642;114; ;AZEITONA VERDE CAMPO BELO BALDE    ;CXA 1 X 6 2KG    ;;*; ;35;     ;0;02/12/2022;174,82;25;0;0;0;1;0;174,3;155,94;-27,02;24;116;21;C; ;25/01/2023;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;35646;152; ;AZEITONA VERDE CAMPO BELO FAT.BLD  ;CXA 1 X 6 2KG    ;;*; ;35;     ;0;02/12/2022;276,58;5;0;0;0;1;4;271,35;275,4;-13,78;1;116;9;C; ;06/02/2023;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;82538;102; ;AZEITONA VERDE CAMPO BELO FAT.POUCH;CXA 1 X 6 1,010KG;;*; ;50;     ;0;25/01/2023;153,95;5;0;0;0;3;1;149,49;182,94;3,03;1;62;6;C; ;25/01/2023;; ; ;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;82539;162; ;AZEITONA VERDE CAMPO BELO POUCH    ;CXA 1 X 6 1,010KG;;*; ;50;     ;0;21/01/2023;114,73;3;0;0;0;2;1;113,87;146,94;7,25;0;66;2;C; ;21/01/2023;; ; ;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;35645;193; ;AZEITONA VERDE CAMPO BELO S/C BALDE;CXA 1 X 6 2KG    ;;*; ;35;     ;0;09/11/2022;308,82;10;0;0;0;9;0;307,28;395,4;7,03;0;139;999;C; ;17/11/2022;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;82534;165; ;AZEITONA VERDE CAMPO BELO S/C POUCH;CXA 1 X 6 1,010KG;;*; ;50;     ;0;21/01/2023;168,48;3;0;0;0;2;3;166,08;179,4;-7,82;0;66;19;C; ;06/02/2023;; ; ;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;74848;151; ;AZEITONA VERDE IMPERADOR BALDE     ;BLD 1 X 1 2KG    ;;*; ;180;     ;0;21/01/2023;42,37;7;0;0;0;6;0;42,39;53,9;6,1;1;66;8;C; ;28/09/2022;; ; ;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;74846;132; ;AZEITONA VERDE IMPERADOR FAT.BLD   ;BLD 1 X 1 2KG    ;;*; ;180;     ;0;21/01/2023;51,65;10;0;0;0;3;0;51,82;65,9;6,1;4;66;4;C; ;28/09/2022;; ; ;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;74847;192; ;AZEITONA VERDE IMPERADOR S/C BLD   ;BLD 1 X 1 2KG    ;;*; ;180;     ;0;26/09/2022;55,6;8;0;0;0;8;0;55,51;69,99;5,43;0;183;999;C; ;28/09/2022;; ; ;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;9713;125; ;AZEITONA VERDE RIVOLI FATIADA BALDE;BLD 1 X 1 1800G  ;;*; ;150;21/01;9,97;05/01/2023;56,03;10;0;0;0;22;0;55,34;70,5;6,24;1;179,09;24;C;N;22/06/2022;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;62250;106; ;AZEITONA VERDE RIVOLI POUCH        ;CXA 1 X 6 1,010KG;;*; ;60;     ;0;05/01/2023;119;18;0;0;0;36;4;117,97;155,4;8,83;8;103,89;0;C; ;19/03/2023;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;64706;111; ;AZEITONA VERDE RIVOLI S/C BALDE    ;BLD 1 X 1 1.800KG;;*; ;150;     ;0;23/11/2022;55,87;15;0;0;0;12;0;55,86;49,9;-27,19;2;125;11;C; ;06/02/2023;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;69490;188; ;BEB.CASTANHA ATDC CAJU/COCO        ;CXA 1 X 12 1L     ;;*; ;85;     ;0;24/02/2023;176,47;1;0;0;0;0;9;166,99;226,8;11,11;0;32;2;C; ;05/03/2023;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;46915;128; ;BEIJINHO XAMEGO BOM POTE           ;CXA 1 X 6 2KG    ;; ; ;42;     ;0;22/03/2023;237,34;2;0;0;0;3;3;212,33;347,4;5,62;0;36,85;5;C; ;19/08/2022;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;73921;172; ;BRIGADEIRO NESTLE MOCA             ;CXA 1 X 8 1,01KG ;; ; ;90;     ;0;02/03/2023;160,08;2;0;0;0;0;4;160;255,22;4,05;1;26;6;C; ;20/03/2023;; ; ;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;65160;188; ;BRIGADEIRO TRIANGULO POTE          ;CXA 1 X 12 1KG    ;; ; ;40;     ;0;17/12/2022;133,39;5;0;0;0;3;0;132,59;203,88;1,7;0;101;57;C; ;20/09/2022;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;46914;169; ;BRIGADEIRO XAMEGO BOM POTE         ;CXA 1 X 6 2,1KG  ;; ; ;42;     ;0;17/03/2023;224,86;2;0;0;0;2;0;212,33;347,4;5,62;1;11;5;C; ;19/08/2022;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;43589;155; ;BRIGADEIRO XODO POTE               ;CXA 1 X 12 1,01KG ;; ; ;48;     ;0;26/01/2023;204,94;2;0;0;0;1;7;203,64;310,8;1,22;0;61;17;C; ;26/01/2023;;N;N;
273;28/03/23;   0;9999;002-G.U                                                                                                 ;65411;135; ;CALDO FAZMAX CARNE                 ;CXA 1 X 10 1010G  ;; ; ;50;     ;0;23/03/2023;46,52;10;0;0;0;10;0;46,52;79,9;8,51;0;5;33;C; ;28/03/2022;;N;N;
